parkid,rectypeid,amenityid,created_us,created_da,last_edite,last_edi_1,amentype,courtsurf,courtsize,courtlight,courtfence,fieldsurf,fldplayage,fieldlight,fieldfence,football,cricket,lacrosse,soccer,fhockey,softball,baseball,sheltype,shelsurf,shellight,shelelec,shelwater,shelrstrm,shelgrill,shelcap,playsurf,playada,playage,recrmrent,recgym,recfitctr,recpool,reclockrm,recomplab,recindoor,reservable,managedby,tball,amenstatus
LATP,SPRAYG,01,,,PARKEDITOR,1/3/2022,AQUATIC,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
LATP,VOLYBL,01,,,PARKEDITOR,1/3/2022,COURT,Sand,Full,No,No,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,No,Mecklenburg,,Open
EALD,PLYGRD,01,,,PARKEDITOR,1/3/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,Poured-in-Place,,,,,,,,,,,Mecklenburg,,Open
FOUR,SWINGS,01,,,PARKEDITOR,1/3/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,Fibar,,,,,,,,,,,Mecklenburg,,Open
FOUR,WALKTR,01,,,PARKEDITOR,1/3/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
FRST,SPRAYG,01,,,PARKEDITOR,1/3/2022,AQUATIC,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
SOLO,BSKTCT,01,,,PARKEDITOR,1/3/2022,COURT,Asphalt,Half,No,No,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,No,Mecklenburg,,Open
SOLO,PLYGRD,01,,,PARKEDITOR,1/3/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,Fibar,,,,,,,,,,,Mecklenburg,,Open
HOSK,COMGRD,01,,,PARKEDITOR,1/3/2022,GARDEN,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
HOSK,BSKTCT,01,,,PARKEDITOR,1/3/2022,COURT,Asphalt,Full,No,No,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,No,Mecklenburg,,Open
HOSK,VOLYBL,01,,,PARKEDITOR,1/3/2022,COURT,Sand,Full,No,No,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,No,Mecklenburg,,Open
HOSK,SHELTR,01,,,PARKEDITOR,1/3/2022,SHELTER,,,,,,,,,,,,,,,,,Concrete,No,No,No,No,Yes,20,,,,,,,,,,,No,Mecklenburg,,Open
HOSK,GRNSPC,01,,,PARKEDITOR,1/3/2022,OTHER,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
EALD,WALKTR,01,,,PARKEDITOR,1/3/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
FSPK,SHELTR,01,,,PARKEDITOR,1/3/2022,SHELTER,,,,,,,,,,,,,,,,,Concrete,No,No,No,No,Yes,40,,,,,,,,,,,No,Mecklenburg,,Open
FSPK,PLYGRD,01,,,PARKEDITOR,1/3/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,Fibar,,,,,,,,,,,Mecklenburg,,Open
FSPK,MULTFD,01,,,PARKEDITOR,1/3/2022,FIELD,,,,,Grass,Youth/Adult,No,No,Yes,No,Yes,Yes,Yes,,,,,,,,,,0,,,,,,,,,,,No,Mecklenburg,,Open
FRED,PLYGRD,01,,,PARKEDITOR,1/3/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,Fibar,,,,,,,,,,,Mecklenburg,,Open
FRED,BSKTCT,01,,,PARKEDITOR,1/3/2022,COURT,Combination,Full,No,No,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,No,Mecklenburg,,Open
FRED,TENNCT,01,,,PARKEDITOR,1/3/2022,COURT,Concrete,Full,No,No,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,No,Mecklenburg,,Open
FRED,SHELTR,01,,,PARKEDITOR,1/3/2022,SHELTER,,,,,,,,,,,,,,,,,Concrete,No,No,No,No,Yes,20,,,,,,,,,,,No,Mecklenburg,,Open
FRED,COMGRD,01,,,PARKEDITOR,1/3/2022,GARDEN,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
HOSK,SHELTR,02,,,PARKEDITOR,1/3/2022,SHELTER,,,,,,,,,,,,,,,,,Concrete,No,No,No,No,Yes,20,,,,,,,,,,,No,Mecklenburg,,Open
HOSK,PLYGRD,01,,,PARKEDITOR,1/3/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,Fibar,,,,,,,,,,,Mecklenburg,,Open
HOSK,PLYGRD,02,,,PARKEDITOR,1/3/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,Fibar,,,,,,,,,,,Mecklenburg,,Open
LCCP,PARKSP,01,,,PARKEDITOR,1/3/2022,PARKING,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
LCCP,BALLFD,01,,,PARKEDITOR,1/3/2022,FIELD,,,,,Dirt,Youth/Adult,No,Yes,,,,,,Yes,No,,,,,,,,0,,,,,,,,,,,No,Mecklenburg,,Open
LCCP,PLYGRD,01,,,PARKEDITOR,1/3/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,Fibar,,,,,,,,,,,Mecklenburg,,Open
LCCP,BSKTCT,01,,,PARKEDITOR,1/3/2022,COURT,Asphalt,Full,Yes,Yes,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,No,Mecklenburg,,Open
LCCP,BSKTCT,02,,,PARKEDITOR,1/3/2022,COURT,Asphalt,Full,Yes,Yes,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,No,Mecklenburg,,Open
LCCP,WALKTR,01,,,PARKEDITOR,1/3/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
LCCP,SHELTR,01,,,PARKEDITOR,1/3/2022,SHELTER,,,,,,,,,,,,,,,,,Concrete,Yes,Yes,No,Yes,Yes,20,,,,,,,,,,,No,Mecklenburg,,Open
NEVN,WALKTR,01,,,PARKEDITOR,1/3/2022,TRAILS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
NEVN,PARKSP,01,,,PARKEDITOR,1/3/2022,PARKING,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
NEVN,PARKSP,02,,,PARKEDITOR,1/3/2022,PARKING,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
NEVN,PARKSP,04,,,PARKEDITOR,1/3/2022,PARKING,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
NEVN,PARKSP,05,,,PARKEDITOR,1/3/2022,PARKING,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
NEVN,CONSTD,01,,,PARKEDITOR,1/3/2022,CONCESSIONS,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
NEVN,SHELTR,02,,,PARKEDITOR,1/3/2022,SHELTER,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
FRND,BALLFD,01,,,PARKEDITOR,1/3/2022,FIELD,,,,,Grass,Youth/Adult,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
FRND,BALLFD,02,,,PARKEDITOR,1/3/2022,FIELD,,,,,Grass,Youth/Adult,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
FRND,RESTRM,01,,,PARKEDITOR,1/3/2022,RESTROOM,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
FRND,PLYGRD,01,,,PARKEDITOR,1/3/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
FRND,SHELTR,01,,,PARKEDITOR,1/3/2022,SHELTER,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
FRND,PARKSP,01,,,PARKEDITOR,1/3/2022,PARKING,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
LTRC,PARKSP,01,,,PARKEDITOR,1/3/2022,PARKING,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
TUCP,RECGYM,01,,,PARKEDITOR,1/3/2022,FACILITY,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
TUCP,PARKSP,01,,,PARKEDITOR,1/3/2022,PARKING,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
TUCP,BALLFD,01,,,PARKEDITOR,1/3/2022,FIELD,,,,,Dirt,Youth/Adult,No,No,,,,,,Yes,Yes,,,,,,,,0,,,,,,,,,,,Yes,Mecklenburg,,Open
TUCP,BALLFD,02,,,PARKEDITOR,1/3/2022,FIELD,,,,,Dirt,Youth/Adult,Yes,Yes,,,,,,Yes,Yes,,,,,,,,0,,,,,,,,,,,Yes,Mecklenburg,,Open
TUCP,MULTFD,01,,,PARKEDITOR,1/3/2022,FIELD,,,,,Grass,Youth/Adult,Yes,No,Yes,No,Yes,Yes,Yes,,,,,,,,,,0,,,,,,,,,,,Yes,Mecklenburg,,Open
TUCP,PARKSP,02,,,PARKEDITOR,1/3/2022,PARKING,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
