OBJECTID,PRKID,PRKNAME,PRKADDR,STREETNO,STREETDIR,STREETNM,STREETTYPE,STREETSUFF,CITY,STATE,ZIP,PRKTYPE,PRKSTATUS,PRKDIST,PRKSIZE,PRKXCOORD,PRKYCOORD,PRKPHONE,PRKAGE,PRKADAACC,CITYCOUNCI,BOCC,PRKDATE,USERID,UPSIZE_TS,X,Y,LEASEDID
96,PRES,Pressley Road Park,1431 PRESSLEY RD,1431, ,PRESSLEY,RD,NO,CHARLOTTE,NC,28217,Neighborhood,Developed,Central,,,,9803141002,,,District 3,District 2,1998/07/28 00:00:00+00,,,1434818.7138892,531932.16462964,Mecklenburg
97,LEGP,Legion Park,21214 LEGION ST,21214,,LEGION,ST,,CORNELIUS,NC,28031,Town Park,Developed,North,,,,7048926031,,,,District 1,1997/05/26 00:00:00+00,,,1446308.27697654,637457.24123415,Cornelius
98,KERN,Gar Creek Park,9230 KERNS RD,9230,,KERNS,RD,,HUNTERSVILLE,NC,28078,Regional,Undeveloped,North,,,,9803141001,,,,District 1,,,,1441473.52534862,591147.25593053,Mecklenburg
99,NINT,Ninth Street Park,417 W 9TH ST,417,W,9TH,ST, ,CHARLOTTE,NC,28202,Neighborhood,Developed,Central,,,,9803141002,,,District 2,District 4,1998/07/28 00:00:00+00,,,1450224.24301341,545218.44554573,Mecklenburg
100,CROS,Forest Pawtuckett Park,1102 ASHFORD ST,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28214,Neighborhood,Developed,North,,,,9803141001,,,District 3,District 2,2003/07/11 00:00:00+00,,,1419429.84942545,556645.69717002,Mecklenburg
101,BAUC,Baucom Park,601 SADIE DR,601,,SADIE,DR,,MATTHEWS,NC,28105,Town Park,Developed,South,,,,7043217275,,,,District 6,,,,1486318.64920686,499834.00877392,Matthews
102,NMPK,North Mecklenburg Park,16131 OLD STATESVILLE RD,16131, ,OLD STATESVILLE,RD, ,HUNTERSVILLE,NC,28078,Town Park,Developed,North,,,,7047662220,,,,District 1,1998/07/28 00:00:00+00,,,1450832.79790348,617750.0735161,Huntersville
103,DBWC,David B. Waymer Recreation & Senior Center,14008 HOLBROOKS RD,14008,,HOLBROOKS,RD,,HUNTERSVILLE,NC,28078,Recreation Center,Developed,North,,,,7047662220,,,,District 1,2020/06/01 10:35:46+00,,,1453025.51379077,605191.38035086,Huntersville
104,HARC,Huntersville Athletic Recreation Center,11836 VERHOEFF DR,11836,,VERHOEFF,DR,,HUNTERSVILLE,NC,28078,Recreation Center,Developed,North,,,,7044645520,,,,District 1,,,,1450524.52119282,602604.44242854,Huntersville
105,CMNP,Clear Creek Park,8616 CLEAR MEADOW LN,8616,,CLEAR MEADOW,LN,,CHARLOTTE,NC,28227,Community,Undeveloped,South,,,,9803141003,,,,District 6,,,,1524300.24578066,530524.87549481,Mecklenburg
106,PPNP,Piedmont Pine Nature Preserve,10505 COBLE RD,10505,,COBLE,RD,,CHARLOTTE,NC,28227,Nature Preserve,Developed,South,,,,9803141003,,,,District 6,,,,1523568.60727009,539691.41014507,Mecklenburg
107,MORG,Cherry Park,501 S TORRENCE ST,501,S,TORRENCE,ST,,CHARLOTTE,NC,28204,Neighborhood,Developed,Central,,,,9803141002,,,District 1,District 4,1998/07/28 00:00:00+00,,,1452582.27125438,536491.92967552,Mecklenburg
108,NMRC,Northern Regional Recreation Center,18121 OLD STATESVILLE RD,18121,,OLD STATESVILLE,RD,,CORNELIUS,NC,28031,Recreation Center,Developed,North,,,,9803141001,,,,District 1,2019/01/15 00:00:00+00,,,1450977.927964,627125.512862,Mecklenburg
109,RICE,Rice Park,2540 RICE RD,2540,,RICE,RD,,MATTHEWS,NC,28105,Town Park,Developed,South,,,,7043217275,,,,District 6,,,,1489992.16893139,510218.80847631,Matthews
110,EAST,Eastover Park,2730 RANDOLPH RD,2730, ,RANDOLPH,RD, ,CHARLOTTE,NC,28207,Neighborhood,Developed,Central,,,,9803141002,,,District 6,District 5,1998/07/28 00:00:00+00,,,1458408.11076438,532565.71704535,Mecklenburg
111,WEST,Westerly Hills Park,3970 BRISTOL DR,3970, ,BRISTOL,DR, ,CHARLOTTE,NC,28208,Neighborhood,Developed,Central,,,,9803141002,,,District 3,District 2,1998/07/28 00:00:00+00,,,1431354.50023103,544156.91648102,Mecklenburg
112,SUNH,Sunset Hills Golf Course,800 RADIO RD,800, ,RADIO,RD, ,CHARLOTTE,NC,28216,Golf Course,Developed,North,,,,9803141001,,,,District 2,1998/07/28 00:00:00+00,,,1437141.01108797,571286.01443262,Mecklenburg
113,BRYT,Bryant Park,1701 W MOREHEAD ST,1701,W,MOREHEAD,ST, ,CHARLOTTE,NC,28208,Neighborhood,Developed,Central,,,,9803141002,,,District 2,District 2,2002/03/18 00:00:00+00,,,1441724.34238173,543159.21857056,Mecklenburg
114,WADD,Waddell Street Park,1505 WADDELL ST,1505, ,WADDELL,ST, ,CHARLOTTE,NC,28216,Neighborhood,Developed,Central,,,,9803141002,,,District 1,District 2,1998/07/28 00:00:00+00,,,1448839.99451984,552887.39948541,Mecklenburg
115,SHFP,Shuffletown Prairie Nature Preserve,2804 HART RD,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28214,Nature Preserve,Undeveloped,North,,,,9803141001,,,District 2,District 1,2002/05/13 00:00:00+00,,,1415261.33132802,580173.57853079,Mecklenburg
116,PLAZ,Plaza Road Park,8518 PLAZA RD EXT,8518,,PLAZA,RD,,CHARLOTTE,NC,28215,Neighborhood,Undeveloped,North,,,,9803141001,,,District 5,District 3,,,,1487953.25058161,552226.28211476,Mecklenburg
117,HESG,Huntersville Elementary School Gymnasium,200 GILEAD RD,200,,GILEAD,RD,,HUNTERSVILLE,NC,28078,Recreation Center,Developed,North,,,,7047662220,,,,District 1,,,,1449828.16502415,609956.60324483,Huntersville
118,COUL,Coulwood Park,198 COULWOOD PARK DR,198, ,COULWOOD PARK,DR, ,CHARLOTTE,NC,28214,Community,Developed,North,,,,9803141001,,,District 2,District 2,1998/07/28 00:00:00+00,,,1421296.36194776,571867.13644038,Mecklenburg
119,REID,Reid Park,3207 AMAY JAMES AV,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28208,Neighborhood,Developed,Central,,,,9803141002,,,District 3,District 2,1998/10/12 00:00:00+00,,,1432367.4397292,534637.18787639,Mecklenburg
120,FULL,Fullwood Community Garden,427 COVENANT CHURCH LN,427,,COVENANT CHURCH,LN,,MATTHEWS,NC,28105,Community Garden,Developed,South,,,,7047081288,,,,District 6,,,,1481763.33315115,503242.60492818,Matthews
121,HOWA,Howie Acres Park,1001 TREMBETH DR,1001, ,TREMBETH,DR, ,CHARLOTTE,NC,28205,Neighborhood,Developed,North,,,,9803141001,,,District 1,District 3,1998/07/28 00:00:00+00,,,1467294.47645806,550544.55327371,Mecklenburg
122,ABBT,Abbott Park,1300 SPRUCE ST,1300, ,SPRUCE,ST, ,CHARLOTTE,NC,28203,Neighborhood,Developed,Central,,,,9803141002,,,District 3,District 2,2007/09/13 00:00:00+00,,,1441233.64932875,538472.58931866,Mecklenburg
123,COLN,Colonial Park,219 PROVIDENCE RD,219, ,PROVIDENCE,RD, ,CHARLOTTE,NC,28207,Neighborhood,Developed,Central,,,,9803141002,,,District 6,District 5,1998/07/28 00:00:00+00,,,1455178.71857129,535075.13381212,Mecklenburg
124,HAYP,Haymarket Nature Preserve,11634 BROOKSHIRE BV,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28214,Nature Preserve,Undeveloped,North,,,,9803141001,,,,District 1,2003/07/11 00:00:00+00,,,1415200.68709043,584912.57162245,Mecklenburg
125,CLWD,Shuffletown Park,9530 BELLHAVEN BV,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28216,Community,Developed,North,,,,9803141001,,,District 2,District 1,1998/08/12 00:00:00+00,,,1420082.32122847,575604.30375443,Mecklenburg
126,GRAY,Grayson Park,750 BEAL ST,750, ,BEAL,ST, ,CHARLOTTE,NC,28211,Neighborhood,Developed,South,,,,9803141003,,,District 6,District 5,1998/07/28 00:00:00+00,,,1463335.64535132,529069.44978248,Mecklenburg
127,PUHU,Purser-Hulsey Park,3024 MATTHEWS-MINT HILL RD,3024, ,MATTHEWS-MINT HILL,RD, ,MATTHEWS,NC,28105,Town Park,Developed,South,,,,7043217275,,,,District 6,2007/02/28 00:00:00+00,,,1496506.50784011,507596.29154465,Matthews
128,BRWD,Briarwood Park,5349 WATERWOOD ST,5349, ,WATERWOOD,ST, ,CHARLOTTE,NC,28215,Community,Developed,North,,,,9803141001,,,District 1,District 3,2002/03/18 00:00:00+00,,,1472738.39859827,552337.43348989,Mecklenburg
129,CGTL,Caldwell Green Tot Lot,320 CALDWELL LN,320,,CALDWELL,LN,,DAVIDSON,NC,28036,Town Park,Developed,North,,,,7048923349,,,,District 1,,,,1454775.46468417,639323.69444917,Davidson
130,HUNT,Huntingtowne Farms Park,2200 RAMBLEWOOD LN,2400, ,RAMBLEWOOD,LN, ,CHARLOTTE,NC,28210,Community,Developed,South,,,,9803141003,,,District 6,District 5,1998/07/28 00:00:00+00,,,1443153.45203777,506777.19694035,Mecklenburg
131,TNGP,Town Green Park,232 MATTHEWS STATION ST,232,,MATTHEWS STATION,ST,,MATTHEWS,NC,28105,Town Park,Developed,South,,,,7043217275,,,,District 6,,,,1486048.94244556,501683.88499069,Matthews
132,TUCC,Tuckaseegee Recreation Center,4820 TUCKASEEGEE RD,4820, ,TUCKASEEGEE,RD, ,CHARLOTTE,NC,28208,Recreation Center,Developed,North,,,,9803141001,,,District 2,District 2,1998/07/28 00:00:00+00,,,1430590.5020514,550832.18879601,Mecklenburg
