to Latitude,to Longitude,Zone,Easting,Northing,Zone Northing Easting Interpreted
35.49244,-80.8789414,3200,1440746.589,639443.9233,3200 639443.9233UsFtN 1440746.589UsFtE
35.1463284,-80.8496836,3200,1447106.945,513334.5081,3200 513334.5081UsFtN 1447106.945UsFtE
35.5058725,-80.8041725,3200,1463087.377,643919.2072,3200 643919.2072UsFtN 1463087.377UsFtE
35.4194823,-80.8380986,3200,1452410.1,612667.1392,3200 612667.1392UsFtN 1452410.1UsFtE
35.3966362,-80.9235001,3200,1426810.056,604835.7067,3200 604835.7067UsFtN 1426810.056UsFtE
35.1906301,-80.8093369,3200,1459459.577,529232.8006,3200 529232.8006UsFtN 1459459.577UsFtE
35.403455,-80.9247718,3200,1426479.288,607324.3265,3200 607324.3265UsFtN 1426479.288UsFtE
35.4612131,-80.8855587,3200,1438561.364,628117.8763,3200 628117.8763UsFtN 1438561.364UsFtE
35.4688324,-80.9321633,3200,1424740.222,631157.3308,3200 631157.3308UsFtN 1424740.222UsFtE
35.1758384,-80.90982,3200,1429340.235,524412.7907,3200 524412.7907UsFtN 1429340.235UsFtE
35.4760303,-80.8984908,3200,1434814.351,633583.2008,3200 633583.2008UsFtN 1434814.351UsFtE
35.383906,-80.9454569,3200,1420177.126,600330.8759,3200 600330.8759UsFtN 1420177.126UsFtE
35.2413672,-80.8775564,3200,1439430.591,548073.46,3200 548073.46UsFtN 1439430.591UsFtE
35.2434194,-80.8502722,3200,1447589.614,548667.2521,3200 548667.2521UsFtN 1447589.614UsFtE
35.2080837,-80.8748368,3200,1440013.678,535946.9121,3200 535946.9121UsFtN 1440013.678UsFtE
35.2472901,-80.745612,3200,1478858.015,549509.8141,3200 549509.8141UsFtN 1478858.015UsFtE
35.305861,-80.7996671,3200,1463108.376,571111.2459,3200 571111.2459UsFtN 1463108.376UsFtE
35.3807889,-80.869608,3200,1442758.998,598762.2191,3200 598762.2191UsFtN 1442758.998UsFtE
35.1342775,-80.8066799,3200,1459880.021,508712.683,3200 508712.683UsFtN 1459880.021UsFtE
35.4907843,-80.8493215,3200,1449550.494,638675.8432,3200 638675.8432UsFtN 1449550.494UsFtE
35.2123678,-80.8372597,3200,1451264.987,537295.9481,3200 537295.9481UsFtN 1451264.987UsFtE
35.1962647,-80.7266494,3200,1484195.618,530843.2177,3200 530843.2177UsFtN 1484195.618UsFtE
35.3592742,-80.904675,3200,1432158.248,591131.9673,3200 591131.9673UsFtN 1432158.248UsFtE
35.1101134,-80.7975019,3200,1462464.343,499870.0594,3200 499870.0594UsFtN 1462464.343UsFtE
35.2723349,-80.7940958,3200,1464549.743,558881.3564,3200 558881.3564UsFtN 1464549.743UsFtE
35.2502998,-80.8176419,3200,1457376.334,550990.9483,3200 550990.9483UsFtN 1457376.334UsFtE
35.1076915,-80.7029514,3200,1490721.298,498490.2704,3200 498490.2704UsFtN 1490721.298UsFtE
35.2390787,-80.866528,3200,1442707.194,547178.6208,3200 547178.6208UsFtN 1442707.194UsFtE
35.1316631,-81.002663,3200,1401277.841,508885.5819,3200 508885.5819UsFtN 1401277.841UsFtE
35.3509638,-80.7763496,3200,1470357.596,587398.5279,3200 587398.5279UsFtN 1470357.596UsFtE
35.2901864,-80.7023247,3200,1492047.596,564895.0866,3200 564895.0866UsFtN 1492047.596UsFtE
35.2723946,-80.7963565,3200,1463875.508,558915.3095,3200 558915.3095UsFtN 1463875.508UsFtE
35.1735099,-80.9807881,3200,1408120.605,523981.0722,3200 523981.0722UsFtN 1408120.605UsFtE
35.2766262,-80.7167454,3200,1487659.751,560034.7351,3200 560034.7351UsFtN 1487659.751UsFtE
35.2301852,-80.904348,3200,1431354.5,544156.9165,3200 544156.9165UsFtN 1431354.5UsFtE
35.2210814,-80.86805,3200,1442129.571,540638.2839,3200 540638.2839UsFtN 1442129.571UsFtE
35.2075972,-80.80896,3200,1459684.67,535404.7833,3200 535404.7833UsFtN 1459684.67UsFtE
35.3579702,-80.9069163,3200,1431481.004,590670.2947,3200 590670.2947UsFtN 1431481.004UsFtE
35.3931927,-80.8979951,3200,1434385.496,603436.3759,3200 603436.3759UsFtN 1434385.496UsFtE
35.34785,-80.9691238,3200,1412864.096,587349.7959,3200 587349.7959UsFtN 1412864.096UsFtE
35.2484005,-80.9079198,3200,1430415.472,550805.5421,3200 550805.5421UsFtN 1430415.472UsFtE
35.1329798,-80.6841268,3200,1496506.508,507596.2915,3200 507596.2915UsFtN 1496506.508UsFtE
35.2392339,-80.864979,3200,1443170.699,547226.3734,3200 547226.3734UsFtN 1443170.699UsFtE
35.2332888,-80.8568776,3200,1445548.778,545017.7281,3200 545017.7281UsFtN 1445548.778UsFtE
35.2415883,-80.7578536,3200,1475166.988,547499.4936,3200 547499.4936UsFtN 1475166.988UsFtE
35.1719799,-80.6083328,3200,1519394.126,521412.4059,3200 521412.4059UsFtN 1519394.126UsFtE
35.4737193,-80.8239716,3200,1456980.914,632326.2737,3200 632326.2737UsFtN 1456980.914UsFtE
35.1472913,-80.6464147,3200,1507866.416,512614.9737,3200 512614.9737UsFtN 1507866.416UsFtE
35.3989769,-80.8355694,3200,1453025.514,605191.3804,3200 605191.3804UsFtN 1453025.514UsFtE
35.0939109,-81.0242228,3200,1394552.993,495279.6432,3200 495279.6432UsFtN 1394552.993UsFtE
35.3121618,-80.6865595,3200,1496887.174,572811.5644,3200 572811.5644UsFtN 1496887.174UsFtE
35.3084212,-80.8088342,3200,1460390.855,572092.5675,3200 572092.5675UsFtN 1460390.855UsFtE
35.0941994,-80.7564547,3200,1474635.567,493859.5072,3200 493859.5072UsFtN 1474635.567UsFtE
35.2153764,-80.82293,3200,1455564.45,538311.8351,3200 538311.8351UsFtN 1455564.45UsFtE
35.3188141,-80.9842518,3200,1408142.75,576874.0834,3200 576874.0834UsFtN 1408142.75UsFtE
35.1599896,-80.8595657,3200,1444246.537,518360.6952,3200 518360.6952UsFtN 1444246.537UsFtE
35.1135975,-80.7229761,3200,1484770.686,500742.6752,3200 500742.6752UsFtN 1484770.686UsFtE
35.2529892,-80.8785092,3200,1439226.176,552307.85,3200 552307.85UsFtN 1439226.176UsFtE
35.3280843,-80.9091243,3200,1430613.648,579807.8983,3200 579807.8983UsFtN 1430613.648UsFtE
35.2263156,-80.7178459,3200,1487014.498,541732.7856,3200 541732.7856UsFtN 1487014.498UsFtE
35.4124228,-80.8457606,3200,1450080.015,610140.5695,3200 610140.5695UsFtN 1450080.015UsFtE
35.4129908,-80.8732021,3200,1441909.03,610500.3947,3200 610500.3947UsFtN 1441909.03UsFtE
35.0621174,-81.0195364,3200,1395719.146,483682.651,3200 483682.651UsFtN 1395719.146UsFtE
35.0793587,-80.8950014,3200,1433097.295,489221.5463,3200 489221.5463UsFtN 1433097.295UsFtE
35.2198148,-80.6863108,3200,1496390.437,539205.7198,3200 539205.7198UsFtN 1496390.437UsFtE
35.4129256,-80.8454985,3200,1450161.494,610322.0658,3200 610322.0658UsFtN 1450161.494UsFtE
35.1521242,-80.8864025,3200,1436172.61,515649.9863,3200 515649.9863UsFtN 1436172.61UsFtE
35.3775682,-80.9333511,3200,1423739.761,597954.1628,3200 597954.1628UsFtN 1423739.761UsFtE
35.2379126,-80.8515092,3200,1447182.965,546670.2976,3200 546670.2976UsFtN 1447182.965UsFtE
35.2667094,-80.9298028,3200,1424012.932,557594.0288,3200 557594.0288UsFtN 1424012.932UsFtE
35.475574,-80.8177005,3200,1458860.047,632966.9564,3200 632966.9564UsFtN 1458860.047UsFtE
35.2567471,-80.83827,3200,1451262.341,553450.41,3200 553450.41UsFtN 1451262.341UsFtE
35.1563158,-80.956789,3200,1415167.528,517582.4125,3200 517582.4125UsFtN 1415167.528UsFtE
35.2205293,-80.7709868,3200,1471109.586,539906.1002,3200 539906.1002UsFtN 1471109.586UsFtE
35.2196384,-80.7856271,3200,1466732.022,539660.225,3200 539660.225UsFtN 1466732.022UsFtE
35.2215429,-80.6859526,3200,1496508.108,539832.7766,3200 539832.7766UsFtN 1496508.108UsFtE
35.4777694,-80.819299,3200,1458398.859,633774.5646,3200 633774.5646UsFtN 1458398.859UsFtE
35.4456697,-80.7815978,3200,1469411.522,621889.8666,3200 621889.8666UsFtN 1469411.522UsFtE
35.21444,-80.9082005,3200,1430094.125,538449.6993,3200 538449.6993UsFtN 1430094.125UsFtE
35.3507081,-80.9186313,3200,1427937.708,588095.0327,3200 588095.0327UsFtN 1427937.708UsFtE
35.2484829,-80.9073354,3200,1430590.502,550832.1888,3200 550832.1888UsFtN 1430590.502UsFtE
35.2448382,-81.0057441,3200,1401189,550085.0001,3200 550085.0001UsFtN 1401189UsFtE
35.1509005,-80.7456779,3200,1478221.489,514435.2479,3200 514435.2479UsFtN 1478221.489UsFtE
35.3137742,-80.7127976,3200,1489071.062,573532.3495,3200 573532.3495UsFtN 1489071.062UsFtE
35.2351071,-80.7730928,3200,1470575.456,545221.9688,3200 545221.9688UsFtN 1470575.456UsFtE
35.2242775,-80.6843128,3200,1497014.638,540819.5347,3200 540819.5347UsFtN 1497014.638UsFtE
35.1444413,-80.6435229,3200,1508713.554,511563.5478,3200 511563.5478UsFtN 1508713.554UsFtE
35.2460299,-80.7978827,3200,1463246.293,549329.7604,3200 549329.7604UsFtN 1463246.293UsFtE
35.3826955,-80.8080231,3200,1461125.098,599116.0029,3200 599116.0029UsFtN 1461125.098UsFtE
35.1959638,-80.749838,3200,1477267.252,530855.0224,3200 530855.0224UsFtN 1477267.252UsFtE
35.2375702,-80.6321152,3200,1512680.496,545396.3159,3200 545396.3159UsFtN 1512680.496UsFtE
35.2056946,-80.8835835,3200,1437385.001,535127.0001,3200 535127.0001UsFtN 1437385.001UsFtE
