OBJECTID,PARK_TYPE,STATUS,PARK_ID,PROPERTY,SUM_ACRES,ShapeSTArea,ShapeSTLength
163,NEIGHBORHOOD PARK,DEVELOPED,HOSK,EVA B. BARBER PARK,15.55598798,677616.101079492,5081.88919468466
164,NATURE PRESERVE,UNDEVELOPED,HAYP,HAYMARKET NATURE PRESERVE,99.59992835,4338555.64035371,20470.1474425148
165,NATURE PRESERVE,UNDEVELOPED,MRND,POSSUM WALK NATURE PRESERVE,62.48885241,2722003.05069316,7749.39332349137
166,NATURE PRESERVE,UNDEVELOPED,MTLD,ROZZELLES FERRY NATURE PRESERVE,4.49797057,195930.816776563,2140.7532085478
167,NEIGHBORHOOD PARK,DEVELOPED,ARCH,ARCHDALE PARK,16.60959949,723511.496850391,3491.9505459925
168,NEIGHBORHOOD PARK,DEVELOPED,ABBT,ABBOTT PARK,7.25774985,316146.681528711,4751.34310072498
169,NEIGHBORHOOD PARK,DEVELOPED,ALEX,ALEXANDER PARK,4.4379737,193317.437073242,2651.03740477643
170,NEIGHBORHOOD PARK,DEVELOPED,ALHP,ALLEN HILLS PARK,18.08717427,787874.238590039,5398.31968238691
171,NEIGHBORHOOD PARK,DEVELOPED,ANSP,ANITA STROUD PARK,5.24940323,228663.219386328,3954.51194082491
172,NEIGHBORHOOD PARK,DEVELOPED,BIDD,BIDDLEVILLE PARK,3.22112292,140311.357352148,1827.0040757485
173,NEIGHBORHOOD PARK,DEVELOPED,EALD,EAGLES LANDING PARK,7.70411046,335589.68768125,3474.15948957108
174,NEIGHBORHOOD PARK,DEVELOPED,EAST,EASTOVER PARK,19.38726445,844505.916791016,4362.61725160307
175,NEIGHBORHOOD PARK,DEVELOPED,EBMP,EB MOORE PARK,4.01700966,174980.249818359,1767.41618338249
176,NEIGHBORHOOD PARK,DEVELOPED,EDGE,EDGEHILL PARK,5.37185906,233997.188330859,2990.77503205131
177,NEIGHBORHOOD PARK,DEVELOPED,ENDP,ENDERLY PARK,8.47864042,369328.348089844,5017.63693464474
178,NEIGHBORHOOD PARK,DEVELOPED,FIVE,FIVE POINTS PARK,9.25718272,403241.023416992,3542.86022262828
179,NEIGHBORHOOD PARK,DEVELOPED,FOUR,FOURTH WARD PARK,2.91757052,127089.00597168,2537.46666772504
180,NEIGHBORHOOD PARK,UNDEVELOPED,MCDP,MCDOWELL CREEK PARK,14.68928441,639862.751900781,4153.83404608974
181,NEIGHBORHOOD PARK,DEVELOPED,FRAZ,FRAZIER PARK,17.08388583,744170.864911523,6842.29756678049
182,NEIGHBORHOOD PARK,DEVELOPED,FRED,FRED ALEXANDER PARK,6.04484121,263312.342516602,2240.55085216386
183,NEIGHBORHOOD PARK,DEVELOPED,FRST,FIRST WARD PARK,3.06108676,133340.363347461,2047.48693272975
184,NEIGHBORHOOD PARK,DEVELOPED,HOWA,HOWIE ACRES PARK,7.8072333,340081.457331445,3870.33699607658
185,NEIGHBORHOOD PARK,DEVELOPED,HRNP,HARRISBURG ROAD PARK,0.91309771,39774.398565625,880.874284757271
186,NEIGHBORHOOD PARK,DEVELOPED,MIDT,MIDTOWN PARK,1.84764529,80483.2403658203,1314.84523126241
187,NEIGHBORHOOD PARK,DEVELOPED,INDP,INDEPENDENCE PARK,21.08165814,918313.0677,7103.17860231535
188,NEIGHBORHOOD PARK,DEVELOPED,JUPK,JULIAN UNDERWOOD PARK,13.47228971,586850.545102539,3654.17547458861
189,NEIGHBORHOOD PARK,DEVELOPED,LCCP,L.C. COLEMAN PARK,19.72830469,859361.80672832,9304.75687114927
190,NEIGHBORHOOD PARK,DEVELOPED,PRES,PRESSLEY ROAD PARK,5.95512397,259404.160395117,2177.32739241411
191,NEIGHBORHOOD PARK,DEVELOPED,LHTP,LINCOLN HEIGHTS PARK,9.19505471,400534.946549023,5817.77618183883
192,NEIGHBORHOOD PARK,DEVELOPED,LIND,DELTA CREEK PARK,10.88054297,473954.752193164,3935.41254772332
193,NEIGHBORHOOD PARK,DEVELOPED,MIDW,MIDWOOD PARK,6.23999608,271812.982726562,2978.40762620759
194,NEIGHBORHOOD PARK,DEVELOPED,MOEP,MERRY OAKS PARK,1.43640037,62569.4198154297,1682.50050617563
195,NEIGHBORHOOD PARK,DEVELOPED,MORG,CHERRY PARK,2.28970321,99739.2900005859,1532.19382286767
196,NEIGHBORHOOD PARK,DEVELOPED,MTHP,METHODIST HOME PARK,9.79457841,426650.081263086,3105.03929548272
197,NEIGHBORHOOD PARK,DEVELOPED,NCPK,NORTH CHARLOTTE PARK,3.04671551,132714.375625977,1531.20833615577
198,NEIGHBORHOOD PARK,DEVELOPED,NINT,NINTH STREET PARK,0.25527066,11119.554171875,423.379667010299
199,NEIGHBORHOOD PARK,DEVELOPED,OAKT,OAKHURST PARK,5.13354037,223616.192812695,2115.70178585871
200,NEIGHBORHOOD PARK,DEVELOPED,PERL,PEARL STREET PARK,9.92081078,432148.936357227,4636.46659832561
